"","AGE","HAULJOIN","REGION","SPECIMENID","BIOSTRATUM","SPECIES_CODE","LENGTH","WEIGHT","SEX","START_TIME","BOTTOM_DEPTH","STRATUM","GEAR_TEMPERATURE","BOTTOM_TYPE","GEAR_DEPTH","PERFORMANCE","DURATION","DISTANCE_FISHED","NET_WIDTH","NET_HEIGHT","NET_MEASURED","START_LATITUDE","END_LATITUDE","START_LONGITUDE","END_LONGITUDE","SURFACE_TEMPERATURE","GEAR","HAULJOIN.1","BOTTOM_DEPTH.1","ABUNDANCE_HAUL","INPFC_AREA","MIN_DEPTH","MAX_DEPTH","DESCRIPTION","REGULATORY_AREA_NAME","STRATUM_TYPE","Quarters","Months","YEAR","Cohort","GrowthMorph","aBIN"
"1",1,1173594,"GOA",585,0,10200,120,8,1,2003-07-26 20:30:41,141,151,6.6,NA,135,0,0.25,1.416,16.51,5.902,"Y",54.94987,54.95373,-133.5762,-133.59689,12.6,172,1173594,141,"Y","Southeastern   ",101,200,"Prince of Wales Shelf         ","EASTERN GOA","SHELF","Q3","July",2003,2002,"EASTERN",1
"2",1,1077833,"GOA",293,0,10200,90,4,3,2001-07-16 07:22:07,209,133,5.8,NA,203,1.1,0.27,1.491,17.449,6.425,"Y",59.39214,59.40159,-149.11011,-149.09219,12.1,172,1077833,209,"Y","Kodiak         ",101,200,"Kenai Flats                   ","CENTRAL GOA","SHELF","Q3","July",2001,2000,"NOT_EASTERN",1
"3",1,985794,"GOA",323,33,10200,90,4,3,1999-06-28 16:41:55,96,33,6.2,NA,96,0,0.2675,1.495,13.915,8.279,"Y",59.40995,59.3968,-150.7294,-150.7335,10.1,172,985794,96,"Y","Kodiak         ",1,100,"Kenai Peninsula               ","CENTRAL GOA","SHELF","Q2","June",1999,1998,"NOT_EASTERN",1
"4",1,1173594,"GOA",573,0,10200,140,14,2,2003-07-26 20:30:41,141,151,6.6,NA,135,0,0.25,1.416,16.51,5.902,"Y",54.94987,54.95373,-133.5762,-133.59689,12.6,172,1173594,141,"Y","Southeastern   ",101,200,"Prince of Wales Shelf         ","EASTERN GOA","SHELF","Q3","July",2003,2002,"EASTERN",1
"5",1,881136,"GOA",314,133,10200,130,10,2,1996-07-15 07:04:48,173,133,5.8,NA,173,0,0.2719,1.575,17.634,6.221,"Y",59.83623,59.84805,-148.8642,-148.849,11.8,172,881136,173,"Y","Kodiak         ",101,200,"Kenai Flats                   ","CENTRAL GOA","SHELF","Q3","July",1996,1995,"NOT_EASTERN",1
"6",1,1173569,"GOA",485,0,10200,120,8,3,2003-07-20 07:10:45,162,142,5.9,1,156,0,0.26,1.449,16.773,5.778,"Y",58.83608,58.83033,-139.6745,-139.6524,15.8,172,1173569,162,"Y","Yakutat        ",101,200,"Yakutat Flats                 ","EASTERN GOA","SHELF","Q3","July",2003,2002,"EASTERN",1
"7",1,881094,"GOA",379,50,10200,120,8,2,1996-07-23 07:59:58,77,50,7.6,NA,77,0,0.2942,1.55,16.201,6.458,"Y",58.31421,58.30135,-136.8035,-136.8129,11.3,172,881094,77,"Y","Southeastern   ",1,100,"Southeastern Shallows         ","EASTERN GOA","SHELF","Q3","July",1996,1995,"EASTERN",1
"8",1,1078136,"GOA",376,0,10200,110,6,2,2001-07-18 15:30:12,188,133,5.9,NA,181,0,0.28,1.513,16.282,6.654,"Y",59.41408,59.40104,-149.74631,-149.74561,13,172,1078136,188,"Y","Kodiak         ",101,200,"Kenai Flats                   ","CENTRAL GOA","SHELF","Q3","July",2001,2000,"NOT_EASTERN",1
"9",1,1173594,"GOA",587,0,10200,130,12,1,2003-07-26 20:30:41,141,151,6.6,NA,135,0,0.25,1.416,16.51,5.902,"Y",54.94987,54.95373,-133.5762,-133.59689,12.6,172,1173594,141,"Y","Southeastern   ",101,200,"Prince of Wales Shelf         ","EASTERN GOA","SHELF","Q3","July",2003,2002,"EASTERN",1
"10",1,1078182,"GOA",359,0,10200,130,12,2,2001-07-12 09:47:15,173,132,5.9,NA,166,0,0.27,1.487,16.447,6.61,"Y",58.4448,58.45142,-151.4715,-151.4931,10.3,172,1078182,173,"Y","Kodiak         ",101,200,"Barren Islands                ","CENTRAL GOA","SHELF","Q3","July",2001,2000,"NOT_EASTERN",1
"11",1,985794,"GOA",324,33,10200,90,4,3,1999-06-28 16:41:55,96,33,6.2,NA,96,0,0.2675,1.495,13.915,8.279,"Y",59.40995,59.3968,-150.7294,-150.7335,10.1,172,985794,96,"Y","Kodiak         ",1,100,"Kenai Peninsula               ","CENTRAL GOA","SHELF","Q2","June",1999,1998,"NOT_EASTERN",1
"12",1,-16906,"GOA",185,0,10200,130,10,2,2017-07-14 16:42:07,291,33,6.1,NA,285,0,0.269,1.473,16.413,5.921,"Y",59.35788,59.34533,-150.52587,-150.53408,12.1,172,-16906,291,"Y","Kodiak         ",1,100,"Kenai Peninsula               ","CENTRAL GOA","SHELF","Q3","July",2017,2016,"NOT_EASTERN",1
"13",1,881136,"GOA",313,133,10200,120,8,2,1996-07-15 07:04:48,173,133,5.8,NA,173,0,0.2719,1.575,17.634,6.221,"Y",59.83623,59.84805,-148.8642,-148.849,11.8,172,881136,173,"Y","Kodiak         ",101,200,"Kenai Flats                   ","CENTRAL GOA","SHELF","Q3","July",1996,1995,"NOT_EASTERN",1
"14",1,-16906,"GOA",184,0,10200,150,10,1,2017-07-14 16:42:07,291,33,6.1,NA,285,0,0.269,1.473,16.413,5.921,"Y",59.35788,59.34533,-150.52587,-150.53408,12.1,172,-16906,291,"Y","Kodiak         ",1,100,"Kenai Peninsula               ","CENTRAL GOA","SHELF","Q3","July",2017,2016,"NOT_EASTERN",1
"15",1,985794,"GOA",326,33,10200,100,4,3,1999-06-28 16:41:55,96,33,6.2,NA,96,0,0.2675,1.495,13.915,8.279,"Y",59.40995,59.3968,-150.7294,-150.7335,10.1,172,985794,96,"Y","Kodiak         ",1,100,"Kenai Peninsula               ","CENTRAL GOA","SHELF","Q2","June",1999,1998,"NOT_EASTERN",1
"16",1,-16906,"GOA",183,0,10200,130,10,1,2017-07-14 16:42:07,291,33,6.1,NA,285,0,0.269,1.473,16.413,5.921,"Y",59.35788,59.34533,-150.52587,-150.53408,12.1,172,-16906,291,"Y","Kodiak         ",1,100,"Kenai Peninsula               ","CENTRAL GOA","SHELF","Q3","July",2017,2016,"NOT_EASTERN",1
"17",1,1173570,"GOA",486,0,10200,140,12,3,2003-07-20 09:00:13,194,142,5.8,4,188,0,0.25,1.45,17.222,5.891,"Y",58.62386,58.61143,-139.7291,-139.7236,15.7,172,1173570,194,"Y","Yakutat        ",101,200,"Yakutat Flats                 ","EASTERN GOA","SHELF","Q3","July",2003,2002,"EASTERN",1
"18",2,881228,"GOA",135,132,10200,150,14,1,1996-06-21 11:32:52,165,132,NA,NA,165,0,0.2775,1.518,15.626,6.481,"Y",58.66413,58.67475,-153.1681,-153.1521,NA,172,881228,165,"Y","Kodiak         ",101,200,"Barren Islands                ","CENTRAL GOA","SHELF","Q2","June",1996,1994,"NOT_EASTERN",2
"19",2,881128,"GOA",361,240,10200,160,18,2,1996-07-19 06:52:54,257,240,5.2,NA,257,0,0.3314,1.827,16.479,6,"Y",59.88071,59.89698,-143.682,-143.6828,12.9,172,881128,257,"Y","Yakutat        ",201,300,"Yakutat Gullies               ","EASTERN GOA","GULLY","Q3","July",1996,1994,"EASTERN",2
"20",2,-10408,"GOA",197,0,10200,220,72,1,2013-07-03 17:35:26,140,130,4.5,NA,134,0,0.288,1.611,15.628,6.258,"Y",56.61048,56.59608,-153.59647,-153.59856,10.4,172,-10408,140,"Y","Kodiak         ",101,200,"Albatross Gullies             ","CENTRAL GOA","GULLY","Q3","July",2013,2011,"NOT_EASTERN",2
"21",2,-10424,"GOA",226,0,10200,160,22,2,2013-07-06 16:17:26,146,130,5.2,NA,140,0,0.26,1.446,16.621,5.885,"Y",56.75943,56.7465,-152.55434,-152.55643,10.1,172,-10424,146,"Y","Kodiak         ",101,200,"Albatross Gullies             ","CENTRAL GOA","GULLY","Q3","July",2013,2011,"NOT_EASTERN",2
"22",2,-16477,"GOA",61,0,10200,190,38,1,2017-06-09 15:22:30,139,110,5.1,NA,133,0,0.264,1.432,16.652,5.878,"Y",54.5476,54.54814,-160.7593,-160.78134,7.9,172,-16477,139,"Y","Shumagin       ",101,200,"Sanak Gully                   ","WESTERN GOA","GULLY","Q2","June",2017,2015,"NOT_EASTERN",2
"23",2,-5944,"GOA",409,0,10200,200,56,2,2009-07-22 07:00:12,71,50,6.9,NA,64,0,0.278,1.536,14.737,6.888,"Y",57.75038,57.73876,-136.2141,-136.2263,12.7,172,-5944,71,"Y","Southeastern   ",1,100,"Southeastern Shallows         ","EASTERN GOA","SHELF","Q3","July",2009,2007,"EASTERN",2
"24",2,-5944,"GOA",408,0,10200,210,58,2,2009-07-22 07:00:12,71,50,6.9,NA,64,0,0.278,1.536,14.737,6.888,"Y",57.75038,57.73876,-136.2141,-136.2263,12.7,172,-5944,71,"Y","Southeastern   ",1,100,"Southeastern Shallows         ","EASTERN GOA","SHELF","Q3","July",2009,2007,"EASTERN",2
"25",2,881094,"GOA",378,50,10200,170,22,2,1996-07-23 07:59:58,77,50,7.6,NA,77,0,0.2942,1.55,16.201,6.458,"Y",58.31421,58.30135,-136.8035,-136.8129,11.3,172,881094,77,"Y","Southeastern   ",1,100,"Southeastern Shallows         ","EASTERN GOA","SHELF","Q3","July",1996,1994,"EASTERN",2
"26",2,-19603,"GOA",260,0,10200,180,30,3,2019-07-21 07:04:17,140,141,6.7,NA,134,0,0.267,1.484,15.884,6.296,"Y",59.95151,59.95096,-143.17786,-143.15145,13.5,172,-19603,140,"Y","Yakutat        ",101,200,"Yakataga Shelf                ","EASTERN GOA","SHELF","Q3","July",2019,2017,"EASTERN",2
"27",2,-16757,"GOA",85,0,10200,180,30,1,2017-06-17 19:27:54,122,121,6.1,NA,116,0,0.271,1.477,19.182,6.497,"Y",56.32892,56.3421,-156.79783,-156.79523,9.4,172,-16757,122,"Y","Chirikof       ",101,200,"Shelikof Edge                 ","CENTRAL GOA","SHELF","Q2","June",2017,2015,"NOT_EASTERN",2
