year,central,eastern,western
1984,40687.6,13310.5,6671.5
1987,39721.7,15303.6,8800.7
1990,75147.1,16313.3,6764.6
1993,55310.3,20900.8,10760.4
1996,43777.9,19560.1,9418.6
1999,42749.5,19464.1,12754.9
2001,41686.8,,9571
2003,57973.1,28658.6,13264.9
2005,60599.5,27795.3,12765.8
2007,76514,15671.9,11614.2
2009,82091.2,22872.8,19780.4
2011,63489.7,18680.9,12963.6
2013,64187.6,22913.2,13877.1
2015,48902.9,22473.5,15936.3
2017,57175.6,20352.3,20192.3
2019,49028.5,24243,17142.4
2021,70612.7,26123.9,15596.7
