Stock Year Catch ABC OFL SSB TotBiom
Rex 2022 1.567 16.1054 19.5534 46.5499 114.54
Rex 2023 1.567 17.7611 21.5515 51.7487 117.937
Rex 2024 18.6617 18.6617 22.6343 55.4737 119.396
Rex 2025 15.8162 15.8162 19.1817 48.2604 102.774
Rex 2026 13.3806 13.3806 16.2304 41.4935 89.5093
Rex 2027 11.5291 11.5291 13.9875 35.9573 79.4681
Rex 2028 10.1723 10.1723 12.3438 31.7271 72.0774
Rex 2029 9.18775 9.18775 11.1512 28.5916 66.7326
Rex 2030 8.47517 8.47517 10.2883 26.3185 63.0574
Rex 2031 7.95647 7.95647 9.66085 24.716 60.4367
Rex 2032 7.59052 7.59052 9.21875 23.6271 58.6227
Rex 2033 7.33757 7.33757 8.91321 22.9085 57.255
Rex 2034 7.15112 7.15112 8.68791 22.418 56.3467
