
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
52.5576 21.023 18.3951 54.0161 43.9513 40.4577 
CV Recruit
0.478536 
Alternative 1 Alternative  Stock: Rex
Catch Rex
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2021  0 7.4866 8.10838 0.392 0.392 0.392 0.392 8.10463e-15 
2022  0 7.4866 8.10838 1.567 1.567 1.567 1.567 7.60447e-10 
2023  0 7.4866 8.10838 1.567 1.567 1.567 1.567 3.98223e-07 
2024  0 7.4866 8.10838 18.3119 18.6133 18.6617 19.1798 0.290927 
2025  0 7.4866 8.10838 14.9759 15.7173 15.8162 16.9516 0.659279 
2026  0 7.4866 8.10838 12.1376 13.2448 13.3806 15.031 0.940605 
2027  0 7.4866 8.10838 10.0875 11.3985 11.5291 13.4 1.07224 
2028  0 7.4866 8.10838 8.53667 10.0352 10.1723 12.1649 1.13102 
2029  0 7.4866 8.10838 7.48555 9.05334 9.18775 11.1987 1.15822 
2030  0 7.4866 8.10838 6.6792 8.38536 8.47517 10.5294 1.18756 
2031  0 7.4866 8.10838 5.91902 7.8728 7.95647 10.0943 1.23399 
2032  0 7.4866 8.10838 5.46279 7.51449 7.59052 9.73426 1.2839 
2033  0 7.4866 8.10838 5.20493 7.27439 7.33757 9.65442 1.32985 
2034  0 7.4866 8.10838 4.9352 7.14649 7.15112 9.46337 1.34235 

Spawning_Biomass Rex
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2021 52.5576 21.023 18.3951 40.4577 40.4577 40.4577 40.4577 8.52651e-14 
2022 52.5576 21.023 18.3951 46.5006 46.5417 46.5499 46.628 0.041856 
2023 52.5576 21.023 18.3951 51.4985 51.7155 51.7487 52.1181 0.207573 
2024 52.5576 21.023 18.3951 54.6071 55.3632 55.4737 56.6665 0.695213 
2025 52.5576 21.023 18.3951 46.2726 48.0402 48.2604 50.9405 1.552 
2026 52.5576 21.023 18.3951 38.342 41.191 41.4935 45.751 2.4067 
2027 52.5576 21.023 18.3951 32.0642 35.5933 35.9573 40.9389 2.92956 
2028 52.5576 21.023 18.3951 27.1303 31.3227 31.7271 37.4109 3.1915 
2029 52.5576 21.023 18.3951 23.7515 28.2031 28.5916 34.131 3.32287 
2030 52.5576 21.023 18.3951 21.2003 26.0132 26.3185 32.3027 3.37007 
2031 52.5576 21.023 18.3951 19.747 24.3715 24.716 30.7318 3.36215 
2032 52.5576 21.023 18.3951 18.8169 23.1804 23.6271 29.4215 3.33541 
2033 52.5576 21.023 18.3951 18.3925 22.3203 22.9085 29.0516 3.32024 
2034 52.5576 21.023 18.3951 17.8158 21.8674 22.418 28.616 3.26811 

Fishing_mortalityRex
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2021  0 0.219218 0.272159 0.00572294 0.00572294 0.00572294 0.00572294 6.15827e-17 
2022  0 0.219218 0.272159 0.0195595 0.0195685 0.0195676 0.0195728 4.35382e-06 
2023  0 0.219218 0.272159 0.0175973 0.0176995 0.0176904 0.0177504 5.0368e-05 
2024  0 0.219218 0.272159 0.219218 0.219218 0.219218 0.219218 1.36002e-15 
2025  0 0.219218 0.272159 0.219218 0.219218 0.219218 0.219218 1.36002e-15 
2026  0 0.219218 0.272159 0.219218 0.219218 0.219218 0.219218 1.36002e-15 
2027  0 0.219218 0.272159 0.219218 0.219218 0.219218 0.219218 1.36002e-15 
2028  0 0.219218 0.272159 0.219218 0.219218 0.219218 0.219218 1.36002e-15 
2029  0 0.219218 0.272159 0.219218 0.219218 0.219218 0.219218 1.36002e-15 
2030  0 0.219218 0.272159 0.219218 0.219218 0.218771 0.219218 0.00266943 
2031  0 0.219218 0.272159 0.205211 0.219218 0.217458 0.219218 0.00595923 
2032  0 0.219218 0.272159 0.195002 0.219218 0.215669 0.219218 0.00850696 
2033  0 0.219218 0.272159 0.190344 0.219218 0.213883 0.219218 0.0104387 
2034  0 0.219218 0.272159 0.184015 0.219218 0.212313 0.219218 0.0119984 

Total_BiomassRex
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2021 217.789 57.2025 52.7094 107.593 107.593 107.593 107.593 1.7053e-12 
2022 217.789 57.2025 52.7094 112.009 114.115 114.54 118.547 2.14909 
2023 217.789 57.2025 52.7094 112.939 117.36 117.937 124.713 4.00255 
2024 217.789 57.2025 52.7094 111.709 118.657 119.396 129.332 5.72931 
2025 217.789 57.2025 52.7094 93.4286 101.988 102.774 115.001 7.0137 
2026 217.789 57.2025 52.7094 78.3866 88.5116 89.5093 103.367 7.84781 
2027 217.789 57.2025 52.7094 67.295 78.6207 79.4681 93.5817 8.25082 
2028 217.789 57.2025 52.7094 59.231 71.2369 72.0774 86.5967 8.4443 
2029 217.789 57.2025 52.7094 53.8944 65.7808 66.7326 81.3614 8.47696 
2030 217.789 57.2025 52.7094 50.6231 62.0993 63.0574 78.1808 8.52385 
2031 217.789 57.2025 52.7094 47.9752 59.1618 60.4367 75.9147 8.60902 
2032 217.789 57.2025 52.7094 46.4043 57.547 58.6227 74.3664 8.50677 
2033 217.789 57.2025 52.7094 44.6691 56.3713 57.255 71.9368 8.38726 
2034 217.789 57.2025 52.7094 44.0999 55.2998 56.3467 71.0831 8.2794 
Alternative 2 Alternative  Stock: Rex
Catch Rex
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2021  0 7.4866 8.10838 0.392 0.392 0.392 0.392 8.10463e-15 
2022  0 7.4866 8.10838 1.567 1.567 1.567 1.567 7.60447e-10 
2023  0 7.4866 8.10838 1.567 1.567 1.567 1.567 3.98223e-07 
2024  0 7.4866 8.10838 18.3119 18.6133 18.6617 19.1798 0.290927 
2025  0 7.4866 8.10838 14.9759 15.7173 15.8162 16.9516 0.659279 
2026  0 7.4866 8.10838 12.1376 13.2448 13.3806 15.031 0.940605 
2027  0 7.4866 8.10838 10.0875 11.3985 11.5291 13.4 1.07224 
2028  0 7.4866 8.10838 8.53667 10.0352 10.1723 12.1649 1.13102 
2029  0 7.4866 8.10838 7.48555 9.05334 9.18775 11.1987 1.15822 
2030  0 7.4866 8.10838 6.6792 8.38536 8.47517 10.5294 1.18756 
2031  0 7.4866 8.10838 5.91902 7.8728 7.95647 10.0943 1.23399 
2032  0 7.4866 8.10838 5.46279 7.51449 7.59052 9.73426 1.2839 
2033  0 7.4866 8.10838 5.20493 7.27439 7.33757 9.65442 1.32985 
2034  0 7.4866 8.10838 4.9352 7.14649 7.15112 9.46337 1.34235 

Spawning_Biomass Rex
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2021 52.5576 21.023 18.3951 40.4577 40.4577 40.4577 40.4577 8.52651e-14 
2022 52.5576 21.023 18.3951 46.5006 46.5417 46.5499 46.628 0.041856 
2023 52.5576 21.023 18.3951 51.4985 51.7155 51.7487 52.1181 0.207573 
2024 52.5576 21.023 18.3951 54.6071 55.3632 55.4737 56.6665 0.695213 
2025 52.5576 21.023 18.3951 46.2726 48.0402 48.2604 50.9405 1.552 
2026 52.5576 21.023 18.3951 38.342 41.191 41.4935 45.751 2.4067 
2027 52.5576 21.023 18.3951 32.0642 35.5933 35.9573 40.9389 2.92956 
2028 52.5576 21.023 18.3951 27.1303 31.3227 31.7271 37.4109 3.1915 
2029 52.5576 21.023 18.3951 23.7515 28.2031 28.5916 34.131 3.32287 
2030 52.5576 21.023 18.3951 21.2003 26.0132 26.3185 32.3027 3.37007 
2031 52.5576 21.023 18.3951 19.747 24.3715 24.716 30.7318 3.36215 
2032 52.5576 21.023 18.3951 18.8169 23.1804 23.6271 29.4215 3.33541 
2033 52.5576 21.023 18.3951 18.3925 22.3203 22.9085 29.0516 3.32024 
2034 52.5576 21.023 18.3951 17.8158 21.8674 22.418 28.616 3.26811 

Fishing_mortalityRex
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2021  0 0.219218 0.272159 0.00572294 0.00572294 0.00572294 0.00572294 6.15827e-17 
2022  0 0.219218 0.272159 0.0195595 0.0195685 0.0195676 0.0195728 4.35382e-06 
2023  0 0.219218 0.272159 0.0175973 0.0176995 0.0176904 0.0177504 5.0368e-05 
2024  0 0.219218 0.272159 0.219218 0.219218 0.219218 0.219218 1.36002e-15 
2025  0 0.219218 0.272159 0.219218 0.219218 0.219218 0.219218 1.36002e-15 
2026  0 0.219218 0.272159 0.219218 0.219218 0.219218 0.219218 1.36002e-15 
2027  0 0.219218 0.272159 0.219218 0.219218 0.219218 0.219218 1.36002e-15 
2028  0 0.219218 0.272159 0.219218 0.219218 0.219218 0.219218 1.36002e-15 
2029  0 0.219218 0.272159 0.219218 0.219218 0.219218 0.219218 1.36002e-15 
2030  0 0.219218 0.272159 0.219218 0.219218 0.218771 0.219218 0.00266943 
2031  0 0.219218 0.272159 0.205211 0.219218 0.217458 0.219218 0.00595923 
2032  0 0.219218 0.272159 0.195002 0.219218 0.215669 0.219218 0.00850696 
2033  0 0.219218 0.272159 0.190344 0.219218 0.213883 0.219218 0.0104387 
2034  0 0.219218 0.272159 0.184015 0.219218 0.212313 0.219218 0.0119984 

Total_BiomassRex
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2021 217.789 57.2025 52.7094 107.593 107.593 107.593 107.593 1.7053e-12 
2022 217.789 57.2025 52.7094 112.009 114.115 114.54 118.547 2.14909 
2023 217.789 57.2025 52.7094 112.939 117.36 117.937 124.713 4.00255 
2024 217.789 57.2025 52.7094 111.709 118.657 119.396 129.332 5.72931 
2025 217.789 57.2025 52.7094 93.4286 101.988 102.774 115.001 7.0137 
2026 217.789 57.2025 52.7094 78.3866 88.5116 89.5093 103.367 7.84781 
2027 217.789 57.2025 52.7094 67.295 78.6207 79.4681 93.5817 8.25082 
2028 217.789 57.2025 52.7094 59.231 71.2369 72.0774 86.5967 8.4443 
2029 217.789 57.2025 52.7094 53.8944 65.7808 66.7326 81.3614 8.47696 
2030 217.789 57.2025 52.7094 50.6231 62.0993 63.0574 78.1808 8.52385 
2031 217.789 57.2025 52.7094 47.9752 59.1618 60.4367 75.9147 8.60902 
2032 217.789 57.2025 52.7094 46.4043 57.547 58.6227 74.3664 8.50677 
2033 217.789 57.2025 52.7094 44.6691 56.3713 57.255 71.9368 8.38726 
2034 217.789 57.2025 52.7094 44.0999 55.2998 56.3467 71.0831 8.2794 
Alternative 3 Alternative  Stock: Rex
Catch Rex
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2021  0 7.4866 8.10838 0.392 0.392 0.392 0.392 8.10463e-15 
2022  0 7.4866 8.10838 1.567 1.567 1.567 1.567 7.60447e-10 
2023  0 7.4866 8.10838 1.567 1.567 1.567 1.567 3.98223e-07 
2024  0 7.4866 8.10838 2.06426 2.09649 2.10168 2.15707 0.031192 
2025  0 7.4866 8.10838 2.01834 2.10402 2.11604 2.24528 0.0774303 
2026  0 7.4866 8.10838 1.92607 2.07025 2.08651 2.29676 0.12153 
2027  0 7.4866 8.10838 1.84344 2.02773 2.04421 2.29687 0.15139 
2028  0 7.4866 8.10838 1.75756 1.97663 1.99886 2.30355 0.171031 
2029  0 7.4866 8.10838 1.68431 1.93368 1.95338 2.26307 0.184698 
2030  0 7.4866 8.10838 1.61674 1.89512 1.91074 2.24844 0.193552 
2031  0 7.4866 8.10838 1.57406 1.85547 1.87288 2.22392 0.198764 
2032  0 7.4866 8.10838 1.54516 1.82293 1.84083 2.19507 0.202555 
2033  0 7.4866 8.10838 1.51347 1.78723 1.81385 2.18961 0.206862 
2034  0 7.4866 8.10838 1.47732 1.77104 1.78943 2.16818 0.209077 

Spawning_Biomass Rex
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2021 52.5576 21.023 18.3951 40.4577 40.4577 40.4577 40.4577 8.52651e-14 
2022 52.5576 21.023 18.3951 46.5006 46.5417 46.5499 46.628 0.041856 
2023 52.5576 21.023 18.3951 51.4985 51.7155 51.7487 52.1181 0.207573 
2024 52.5576 21.023 18.3951 54.6071 55.3632 55.4737 56.6665 0.695213 
2025 52.5576 21.023 18.3951 55.0237 56.8247 57.0583 59.8277 1.59496 
2026 52.5576 21.023 18.3951 53.7234 56.8638 57.1682 61.7787 2.64118 
2027 52.5576 21.023 18.3951 51.8584 56.0473 56.4906 62.4005 3.52147 
2028 52.5576 21.023 18.3951 49.7447 54.9791 55.463 62.7886 4.17083 
2029 52.5576 21.023 18.3951 47.4691 53.7844 54.3121 62.4652 4.63661 
2030 52.5576 21.023 18.3951 45.6955 52.7073 53.1652 61.7788 4.95605 
2031 52.5576 21.023 18.3951 44.4865 51.6338 52.0983 61.2983 5.16445 
2032 52.5576 21.023 18.3951 43.2727 50.5979 51.1531 60.5902 5.30567 
2033 52.5576 21.023 18.3951 42.5086 49.7884 50.3345 59.9365 5.42404 
2034 52.5576 21.023 18.3951 41.3026 49.0739 49.6124 59.329 5.50953 

Fishing_mortalityRex
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2021  0 0.219218 0.272159 0.00572294 0.00572294 0.00572294 0.00572294 6.15827e-17 
2022  0 0.219218 0.272159 0.0195595 0.0195685 0.0195676 0.0195728 4.35382e-06 
2023  0 0.219218 0.272159 0.0175973 0.0176995 0.0176904 0.0177504 5.0368e-05 
2024  0 0.219218 0.272159 0.0225943 0.0225943 0.0225943 0.0225943 4.68375e-16 
2025  0 0.219218 0.272159 0.0225943 0.0225943 0.0225943 0.0225943 4.68375e-16 
