Stock Year Catch ABC OFL SSB TotBiom
Rex 2022 1.567 40.9278 51.4307 64.2447 154.77
Rex 2023 1.567 38.9914 50.2029 70.5547 158.977
Rex 2024 46.0871 46.0871 64.5515 75.0299 161.001
Rex 2025 26.5506 26.5506 37.8044 50.902 120.444
Rex 2026 19.2981 19.2981 29.0929 40.7212 101.583
Rex 2027 16.7468 16.7468 24.4487 34.7385 90.8967
Rex 2028 12.3944 12.3944 18.291 30.6391 83.4231
Rex 2029 10.2476 10.2476 15.6803 29.2248 80.7147
Rex 2030 10.03 10.03 15.4183 28.9981 80.3856
Rex 2031 10.016 10.016 15.3988 28.8896 80.1893
Rex 2032 9.92285 9.92285 15.2172 28.8053 79.9802
Rex 2033 9.82314 9.82314 15.1202 28.7959 79.6921
Rex 2034 9.84204 9.84204 15.1405 28.807 79.5695
