
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
71.0291 28.4159 25.534 74.3488 61.621 56.744 
CV Recruit
0.454477 
Alternative 1 Alternative  Stock: Rex
Catch Rex
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2021  0 9.13035 8.93026 0.392 0.392 0.392 0.392 4.82947e-15 
2022  0 9.13035 8.93026 1.567 1.567 1.567 1.567 1.26565e-14 
2023  0 9.13035 8.93026 1.567 1.567 1.567 1.567 1.26565e-14 
2024  0 9.13035 8.93026 46.0871 46.0871 46.0871 46.0871 6.03961e-13 
2025  0 9.13035 8.93026 26.5506 26.5506 26.5506 26.5506 3.6593e-13 
2026  0 9.13035 8.93026 19.2981 19.2981 19.2981 19.2981 2.30926e-13 
2027  0 9.13035 8.93026 16.7581 16.7581 16.7468 16.7581 0.0772778 
2028  0 9.13035 8.93026 9.95696 12.1442 12.3944 15.6768 1.84108 
2029  0 9.13035 8.93026 6.30403 9.70324 10.2476 15.948 3.23201 
2030  0 9.13035 8.93026 6.20446 9.48429 10.03 15.9825 3.07509 
2031  0 9.13035 8.93026 6.07021 9.57825 10.016 15.4555 2.93012 
2032  0 9.13035 8.93026 6.01675 9.2995 9.92285 15.5553 2.99584 
2033  0 9.13035 8.93026 6.13843 9.44011 9.82314 15.5768 2.86671 
2034  0 9.13035 8.93026 6.08887 9.28816 9.84204 15.4476 2.86896 

Spawning_Biomass Rex
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2021 71.0291 28.4159 25.534 56.744 56.744 56.744 56.744 1.13687e-12 
2022 71.0291 28.4159 25.534 64.1798 64.2342 64.2447 64.3433 0.054025 
2023 71.0291 28.4159 25.534 70.2317 70.514 70.5547 71.0186 0.263093 
2024 71.0291 28.4159 25.534 73.9245 74.8949 75.0299 76.5463 0.875077 
2025 71.0291 28.4159 25.534 48.2814 50.6196 50.902 54.3586 2.02076 
2026 71.0291 28.4159 25.534 36.2786 40.3104 40.7212 46.5184 3.38318 
2027 71.0291 28.4159 25.534 28.7027 34.1798 34.7385 42.4832 4.57205 
2028 71.0291 28.4159 25.534 23.0972 29.9868 30.6391 40.0993 5.47056 
2029 71.0291 28.4159 25.534 21.5471 28.5602 29.2248 39.0753 5.51221 
2030 71.0291 28.4159 25.534 21.0517 28.3145 28.9981 38.2297 5.32617 
2031 71.0291 28.4159 25.534 21.1599 28.3356 28.8896 38.7869 5.2748 
2032 71.0291 28.4159 25.534 21.3086 28.1945 28.8053 38.2501 5.24443 
2033 71.0291 28.4159 25.534 21.4951 27.9804 28.7959 38.3039 5.24931 
2034 71.0291 28.4159 25.534 21.4985 28.0049 28.807 38.3388 5.2457 

Fishing_mortalityRex
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2021  0 1.78706 5.15419 0.00785372 0.00785372 0.00785372 0.00785372 1.38778e-17 
2022  0 1.78706 5.15419 0.0336452 0.0336452 0.0336452 0.0336452 5.34295e-16 
2023  0 1.78706 5.15419 0.0359037 0.0359037 0.0359037 0.0359037 2.70617e-16 
2024  0 1.78706 5.15419 1.78706 1.78706 1.78706 1.78706 3.9746e-14 
2025  0 1.78706 5.15419 1.78706 1.78706 1.78706 1.78706 3.9746e-14 
2026  0 1.78706 5.15419 1.78706 1.78706 1.78706 1.78706 3.9746e-14 
2027  0 1.78706 5.15419 1.78706 1.78706 1.78472 1.78706 0.0157635 
2028  0 1.78706 5.15419 1.43496 1.78706 1.71332 1.78706 0.123035 
2029  0 1.78706 5.15419 1.33234 1.78706 1.67033 1.78706 0.161745 
2030  0 1.78706 5.15419 1.29955 1.78034 1.66696 1.78706 0.167999 
2031  0 1.78706 5.15419 1.30671 1.78174 1.66534 1.78706 0.167961 
2032  0 1.78706 5.15419 1.31656 1.7724 1.66371 1.78706 0.16305 
2033  0 1.78706 5.15419 1.32891 1.75823 1.6634 1.78706 0.16088 
2034  0 1.78706 5.15419 1.32913 1.75985 1.66267 1.78706 0.162722 

Total_BiomassRex
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2021 293.259 78.355 73.541 146.753 146.753 146.753 146.753 1.13687e-12 
2022 293.259 78.355 73.541 151.478 154.235 154.77 159.77 2.74026 
2023 293.259 78.355 73.541 152.566 158.271 158.977 167.653 5.08663 
2024 293.259 78.355 73.541 151.279 160.06 161.001 173.386 7.25237 
2025 293.259 78.355 73.541 108.161 119.397 120.444 136.106 9.17064 
2026 293.259 78.355 73.541 86.376 100.308 101.583 120.438 10.8331 
2027 293.259 78.355 73.541 73.1164 89.6833 90.8967 112.152 12.0894 
2028 293.259 78.355 73.541 64.2461 82.3297 83.4231 106.809 13.0729 
2029 293.259 78.355 73.541 61.2618 79.6298 80.7147 103.921 13.0473 
2030 293.259 78.355 73.541 61.5174 79.3285 80.3856 102.961 12.8303 
2031 293.259 78.355 73.541 61.8079 78.4057 80.1893 103.389 12.9546 
2032 293.259 78.355 73.541 61.5639 78.3337 79.9802 102.637 12.9316 
2033 293.259 78.355 73.541 61.1069 78.0011 79.6921 102.441 12.848 
2034 293.259 78.355 73.541 60.5242 78.1399 79.5695 102.801 12.824 
Alternative 2 Alternative  Stock: Rex
Catch Rex
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2021  0 9.13035 8.93026 0.392 0.392 0.392 0.392 4.82947e-15 
2022  0 9.13035 8.93026 1.567 1.567 1.567 1.567 1.26565e-14 
2023  0 9.13035 8.93026 1.567 1.567 1.567 1.567 1.26565e-14 
2024  0 9.13035 8.93026 46.0871 46.0871 46.0871 46.0871 6.03961e-13 
2025  0 9.13035 8.93026 26.5506 26.5506 26.5506 26.5506 3.6593e-13 
