Stock Year Catch ABC OFL SSB TotBiom
Rex 2022 0.0019 4.08394 4.98816 9.80703 25.1152
Rex 2023 0.0019 4.31788 5.26981 10.5528 25.3332
Rex 2024 4.35797 4.35797 5.31722 10.8995 25.2931
Rex 2025 3.46985 3.46985 4.23443 8.8544 20.8924
Rex 2026 2.82324 2.82324 3.44649 7.27394 17.7055
Rex 2027 2.37098 2.37098 2.89534 6.13133 15.463
Rex 2028 2.05668 2.05668 2.51227 5.32693 13.9079
Rex 2029 1.83916 1.83916 2.24722 4.76725 12.8422
Rex 2030 1.6859 1.6859 2.06064 4.38454 12.1461
Rex 2031 1.57827 1.57827 1.9298 4.13088 11.6677
Rex 2032 1.50727 1.50727 1.84358 3.969 11.3507
Rex 2033 1.45991 1.45991 1.78606 3.86719 11.108
Rex 2034 1.42676 1.42676 1.74574 3.7986 10.9542
