Stock Year Catch ABC OFL SSB TotBiom
Rex 2022 0.0019 5.67073 7.45792 12.878 32.728
Rex 2023 0.0019 6.87216 9.00051 13.8128 33.0256
Rex 2024 7.40969 7.40969 9.6801 14.2295 33.0139
Rex 2025 5.29673 5.29673 6.9202 10.5458 25.7837
Rex 2026 3.87439 3.87439 5.07 8.19069 21.2786
Rex 2027 3.05375 3.05375 4.0028 6.80284 18.6332
Rex 2028 2.5748 2.5748 3.38045 5.98705 17.0831
Rex 2029 2.27633 2.27633 2.9937 5.50751 16.1792
Rex 2030 2.09731 2.09731 2.76185 5.23571 15.711
Rex 2031 1.99761 1.99761 2.63306 5.09156 15.4462
Rex 2032 1.94911 1.94911 2.57044 5.02256 15.3013
Rex 2033 1.92573 1.92573 2.54036 4.99 15.1716
Rex 2034 1.9192 1.9192 2.53214 4.96843 15.0927
