
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
12.0481 4.81922 4.21682 23.5922 18.5843 11.5686 
CV Recruit
0.519108 
Alternative 1 Alternative  Stock: Rex
Catch Rex
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2021  0 2.02344 2.21233 0.0019 0.0019 0.0019 0.0019 3.01408e-17 
2022  0 2.02344 2.21233 0.0019 0.0019 0.0019 0.0019 4.40635e-13 
2023  0 2.02344 2.21233 0.0019 0.0019 0.0019 0.0019 5.29198e-12 
2024  0 2.02344 2.21233 7.39609 7.40753 7.40969 7.43073 0.0117719 
2025  0 2.02344 2.21233 5.23556 5.28751 5.29673 5.38888 0.0518427 
2026  0 2.02344 2.21233 3.63118 3.83873 3.87439 4.23155 0.203554 
2027  0 2.02344 2.21233 2.5736 2.99624 3.05375 3.69277 0.381977 
2028  0 2.02344 2.21233 1.99063 2.52362 2.5748 3.35526 0.443097 
2029  0 2.02344 2.21233 1.53098 2.25259 2.27633 3.07763 0.475201 
2030  0 2.02344 2.21233 1.33911 2.08119 2.09731 2.94132 0.486381 
2031  0 2.02344 2.21233 1.26259 1.97199 1.99761 2.86519 0.477717 
2032  0 2.02344 2.21233 1.24446 1.90257 1.94911 2.76256 0.467499 
2033  0 2.02344 2.21233 1.25732 1.87912 1.92573 2.7358 0.46029 
2034  0 2.02344 2.21233 1.23699 1.88664 1.9192 2.7596 0.465836 

Spawning_Biomass Rex
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2021 12.0481 4.81922 4.21682 11.5686 11.5686 11.5686 11.5686 2.82441e-13 
2022 12.0481 4.81922 4.21682 12.8621 12.875 12.878 12.9041 0.0140141 
2023 12.0481 4.81922 4.21682 13.7363 13.8017 13.8128 13.9283 0.065124 
2024 12.0481 4.81922 4.21682 13.9781 14.193 14.2295 14.5832 0.206951 
2025 12.0481 4.81922 4.21682 9.97311 10.4738 10.5458 11.3448 0.458305 
2026 12.0481 4.81922 4.21682 7.24282 8.09311 8.19069 9.52592 0.739318 
2027 12.0481 4.81922 4.21682 5.60861 6.67565 6.80284 8.3678 0.918898 
2028 12.0481 4.81922 4.21682 4.64658 5.8553 5.98705 7.73554 0.968272 
2029 12.0481 4.81922 4.21682 4.15126 5.38255 5.50751 7.23358 0.967124 
2030 12.0481 4.81922 4.21682 3.88237 5.13715 5.23571 6.94911 0.945406 
2031 12.0481 4.81922 4.21682 3.83335 4.96183 5.09156 6.76498 0.919148 
2032 12.0481 4.81922 4.21682 3.81133 4.8504 5.02256 6.60132 0.901228 
2033 12.0481 4.81922 4.21682 3.81652 4.82195 4.99 6.66611 0.897337 
2034 12.0481 4.81922 4.21682 3.75087 4.81842 4.96843 6.65465 0.890945 

Fishing_mortalityRex
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2021  0 0.409759 0.573207 0.000133444 0.000133444 0.000133444 0.000133444 1.43657e-18 
2022  0 0.409759 0.573207 0.000116523 0.000116527 0.000116527 0.00011653 2.30112e-09 
2023  0 0.409759 0.573207 9.51176e-05 9.51576e-05 9.5154e-05 9.51764e-05 1.96456e-08 
2024  0 0.409759 0.573207 0.409759 0.409759 0.409759 0.409759 7.54952e-15 
2025  0 0.409759 0.573207 0.409759 0.409759 0.409759 0.409759 7.54952e-15 
2026  0 0.409759 0.573207 0.409759 0.409759 0.409759 0.409759 7.54952e-15 
2027  0 0.409759 0.573207 0.409759 0.409759 0.409759 0.409759 7.54952e-15 
2028  0 0.409759 0.573207 0.394306 0.409759 0.407752 0.409759 0.00842361 
2029  0 0.409759 0.573207 0.349975 0.409759 0.400127 0.409759 0.0216804 
2030  0 0.409759 0.573207 0.325909 0.409759 0.39332 0.409759 0.0288255 
2031  0 0.409759 0.573207 0.321522 0.409759 0.389305 0.409759 0.0310879 
2032  0 0.409759 0.573207 0.319551 0.409759 0.387304 0.409759 0.0316909 
